PAYROLL_BATCH_ID|TAX_YEAR|INV_PREFIX|INV_SUB|INVOICE_COUNTER|CLIENT_ID|SITE|PAYROLL_BATCH_ERROR_TYPE_ID|INVOICE_SUBTYPE_ID|CURRENT_PM_USER_ID|PAYROLL_RECEIVE_METH_TYPE_ID|ASSIGN_STAMP
4398112|2014|PC|  |05657521    |39832|CA||1|8921|5|
4420247|2014|PC|  |05664178    |39832|CA||1|8921|5|
4406866|2014|PC|  |05660259    |39832|CA||1|8921|5|
4406870|2014|PC|  |05660261    |39832|CA||1|8921|5|
4406875|2014|PC|  |05660264    |39832|CA||1|8921|5|
4407127|2014|PC|  |05660378    |39832|CA||1|8921|5|
4407175|2014|PC|  |05660417    |39832|CA||1|8921|5|
4407181|2014|PC|  |05660421    |39832|CA||1|8921|5|
4407186|2014|PC|  |05660425    |39832|CA||1|8921|5|
4407189|2014|PC|  |05660427    |39832|CA||1|8921|5|
4414810|2014|PC|  |05662910    |39832|CA||1|8921|5|
4424313|2013|PC|  |05665721    |39832|CA||1|8921|5|
4424450|2013|PC|  |05665793    |39832|CA||1|8921|5|
4424626|2014|PC|  |05665884    |39832|CA||1|8921|5|
4425835|2014|PC|  |05666291    |39832|CA||1|8921|5|
4426024|2014|PC|  |05666390    |39832|CA||1|8921|5|
4426029|2014|PC|  |05666392    |39832|CA||1|8921|5|
4426068|2014|PC|  |05666406    |39832|CA||1|8921|5|
4426124|2014|PC|  |05666427    |39832|CA||1|8921|5|
4428680|2014|PC|  |05667380    |39832|CA||1|8921|5|
4457802|2014|PC|  |05675752    |39832|CA||1|8921|5|
4457642|2014|PC|  |05675684    |39832|CA||1|8921|5|
4457357|2014|PC|  |05675577    |39832|CA||1|8921|5|
4457346|2014|PC|  |05675570    |39832|CA||1|8921|5|
4456791|2014|PC|  |05675400    |39832|CA||1|8921|5|
4443505|2014|PC|  |05671339    |39832|CA||1|8921|5|
4443507|2014|PC|  |05671342    |39832|CA||1|8921|5|
4443509|2014|PC|  |05671343    |39832|CA||1|8921|5|
4443982|2014|PC|  |05671652    |39832|CA||1|8921|5|
4444002|2014|PC|  |05671663    |39832|CA||1|8921|5|
4444117|2014|PC|  |05671728    |39832|CA||1|8921|5|
4444122|2014|PC|  |05671732    |39832|CA||1|8921|5|
4450336|2014|PC|  |05673878    |39832|CA||1|8921|5|
4450394|2014|PC|  |05673880    |39832|CA||1|8921|5|
4461413|2014|PC|  |05677253    |39832|CA||1|8921|5|
4461419|2014|PC|  |05677257    |39832|CA||1|8921|5|
4463078|2014|PC|  |05677680    |39832|CA||1|8921|5|
4507981|2014|PC|  |05691439    |39832|CA||1|9550|5|
4507975|2014|PC|  |05691430    |39832|CA||1|9550|5|
4507922|2014|PC|  |05691411    |39832|CA||1|9550|5|
4507915|2014|PC|  |05691410    |39832|CA||1|9550|5|
4507909|2014|PC|  |05691406    |39832|CA||1|9550|5|
4507902|2014|PC|  |05691404    |39832|CA||1|9550|5|
4476538|2014|PC|  |05681454    |39832|CA||1|8921|5|
4476542|2014|PC|  |05681456    |39832|CA||1|8921|5|
4476543|2014|PC|  |05681458    |39832|CA||1|8921|5|
4476546|2014|PC|  |05681460    |39832|CA||1|8921|5|
4476567|2014|PC|  |05681474    |39832|CA||1|8921|5|
4478136|2014|PC|  |05682144    |39832|CA||1|8921|5|
4491960|2014|PC|  |05686677    |39832|CA||1|8921|5|
4491997|2014|PC|  |05686682    |39832|CA||1|8921|5|
4492010|2014|PC|  |05686683    |39832|CA||1|8921|5|
4492023|2014|PC|  |05686688    |39832|CA||1|8921|5|
4492033|2014|PC|  |05686693    |39832|CA||1|9535|5|
4492129|2014|PC|  |05686730    |39832|CA||1|8921|5|
4492371|2014|PC|  |05686849    |39832|CA||1|8921|5|
4507993|2014|PC|  |05691448    |39832|CA||1|9550|5|
4494442|2014|PC|  |05687449    |39832|CA||1|9550|5|
4507988|2014|PC|  |05691445    |39832|CA||1|9550|5|
4504314|2014|PC|  |05690490    |39832|CA||1|9535|5|
4504307|2014|PC|  |05690489    |39832|CA||1|9535|5|
4504296|2014|PC|  |05690487    |39832|CA||1|9535|5|
4504284|2014|PC|  |05690484    |39832|CA||1|9535|5|
4504276|2014|PC|  |05690483    |39832|CA||1|9535|5|
4504262|2014|PC|  |05690481    |39832|CA||1|9535|5|
4504255|2014|PC|  |05690478    |39832|CA||1|9535|5|
4504248|2014|PC|  |05690475    |39832|CA||1|9535|5|
4504240|2014|PC|  |05690469    |39832|CA||1|9535|5|
4504236|2014|PC|  |05690466    |39832|CA||1|9535|5|
4504228|2014|PC|  |05690462    |39832|CA||1|9535|5|
4504223|2014|PC|  |05690458    |39832|CA||1|9535|5|
4510175|2014|PC|  |05691644    |39832|CA||1|9550|5|
4514240|2014|PC|  |05693333    |39832|CA||1|9031|5|
4515283|2014|PC|  |05693795    |39832|CA||1|1078|1|
4516076|2014|PC|  |05694154    |39832|CA|6|5|1078|5|
4519047|2014|PC|  |05694974    |39832|CA||1|1078|5|
4521309|2014|PC|  |05695500    |39832|CA||1|1078|1|
4521323|2014|PC|  |05695504    |39832|CA||1|1078|1|
4521333|2014|PC|  |05695508    |39832|CA||1|1078|1|
4551637|2014|PC|  |05704960    |39832|CA||1|1078|5|
4571721|2014|PC|  |05710933    |39832|CA||1|1078|5|
4585711|2014|PC|  |05714938    |39832|CA||1|1078|5|
4604645|2014|PC|  |05721106    |39832|CA||1|1078|5|
4604786|2014|PC|  |05721174    |39832|CA||1|1078|10|
4604792|2014|PC|  |05721182    |39832|CA||1|1078|5|
4604801|2014|PC|  |05721183    |39832|CA||1|1078|5|
4610378|2014|PC|  |05723388    |39832|CA||1|1078|1|
4611706|2014|PC|  |05723875    |39832|CA||1|1078|5|
4619451|2014|PC|  |05725581    |39832|CA||1|1078|5|
4619794|2014|PC|  |05725661    |39832|CA||1|1078|5|
4628741|2014|PC|  |05728873    |39832|CA||1|1078|1|
4628915|2014|PC|  |05728947    |39832|CA||1|1078|1|
4629124|2014|PC|  |05729044    |39832|CA||1|1078|5|
4629499|2014|PC|  |05729178    |39832|CA||1|1078|1|
4629535|2014|PC|  |05729204    |39832|CA||1|1078|5|
4629604|2014|PC|  |05729230    |39832|CA||1|1078|5|
4639664|2014|PC|  |05732100    |39832|CA||1|1078|1|
4639684|2014|PC|  |05732103    |39832|CA||1|1078|1|
4648369|2014|PC|  |05735424    |39832|CA||1|1078|1|
4648405|2014|PC|  |05735431    |39832|CA||1|1078|1|
4648414|2014|PC|  |05735445    |39832|CA||1|1078|5|
4648419|2014|PC|  |05735448    |39832|CA||1|1078|10|
4648426|2014|PC|  |05735451    |39832|CA||1|1078|1|
4650566|2014|PC|  |05736152    |39832|CA||1|1078|5|
4666988|2014|PC|  |05741678    |39832|CA||1|1078|5|
4667030|2014|PC|  |05741706    |39832|CA||1|1078|5|
4667692|2014|PC|  |05741962    |39832|CA||1|1078|5|
4668972|2014|PC|  |05742461    |39832|CA||1|1078|5|
4672048|2014|PC|  |05743383    |39832|CA||1|1078|1|
4672111|2014|PC|  |05743392    |39832|CA||1|1078|5|
4672149|2014|PC|  |05743408    |39832|CA||1|1078|5|
4674342|2014|PC|  |05744019    |39832|CA||1|1078|5|
4689013|2014|PC|  |05749331    |39832|CA||1|1078|1|
4689207|2014|PC|  |05749375    |39832|CA||1|1078|1|
4689471|2014|PC|  |05749465    |39832|CA||1|1078|1|
4689494|2014|PC|  |05749477    |39832|CA||1|1078|5|
4689559|2014|PC|  |05749500    |39832|CA||1|1078|1|
4689999|2014|PC|  |05749667    |39832|CA||1|1078|1|
4705280|2014|PC|  |05754458    |39832|CA||1|1078|5|
4708326|2014|PC|  |05755688    |39832|CA||1|1078|5|
4708505|2014|PC|  |05755749    |39832|CA||1|1078|5|
4708534|2014|PC|  |05755759    |39832|CA||1|1078|5|
4710185|2014|PC|  |05756292    |39832|CA||1|1078|1|
4710200|2014|PC|  |05756296    |39832|CA||1|1078|5|
4710277|2014|PC|  |05756319    |39832|CA||1|1078|1|
4710278|2014|PC|  |05756320    |39832|CA||1|1078|1|
4711347|2014|PC|  |05756538    |39832|CA||1|1078|1|
4728592|2014|PC|  |05762195    |39832|CA||1|1078|1|
4728602|2014|PC|  |05762198    |39832|CA||1|1078|5|
4728607|2014|PC|  |05762200    |39832|CA||1|1078|1|
4728613|2014|PC|  |05762206    |39832|CA||1|1078|1|
4728750|2014|PC|  |05762264    |39832|CA||1|1078|1|
4728756|2014|PC|  |05762266    |39832|CA||1|1078|1|
4728758|2014|PC|  |05762267    |39832|CA||1|1078|1|
4745876|2014|PC|  |05767572    |39832|CA||1|1078|10|
4745882|2014|PC|  |05767574    |39832|CA||1|1078|5|
4745885|2014|PC|  |05767576    |39832|CA||1|1078|5|
4745887|2014|PC|  |05767580    |39832|CA||1|1078|5|
4745891|2014|PC|  |05767581    |39832|CA||1|1078|5|
4751930|2014|PC|  |05769665    |39832|CA||1|1078|1|
4751931|2014|PC|  |05769666    |39832|CA||1|1078|1|
4754495|2014|PC|  |05770294    |39832|CA||1|1078|1|
4766792|2014|PC|  |05774096    |39832|CA||1|1078|5|
4766793|2014|PC|  |05774100    |39832|CA||1|1078|5|
4766796|2014|PC|  |05774101    |39832|CA||1|1078|5|
4766799|2014|PC|  |05774103    |39832|CA||1|1078|5|
4803174|2014|PC|  |05785378    |39832|CA||1|1078|5|
4768873|2014|PC|  |05774909    |39832|CA||1|1078|5|
4771028|2014|PC|  |05775681    |39832|CA||1|1078|5|
4790936|2014|PC|  |05781856    |39832|CA||1|1078|5|
4790951|2014|PC|  |05781865    |39832|CA||1|1078|1|
4790965|2014|PC|  |05781875    |39832|CA||1|1078|1|
4791054|2014|PC|  |05781909    |39832|CA||1|1078|1|
4791402|2014|PC|  |05782021    |39832|CA||1|1078|5|
4791413|2014|PC|  |05782024    |39832|CA||1|1078|1|
4791423|2014|PC|  |05782026    |39832|CA||1|1078|1|
4791430|2014|PC|  |05782028    |39832|CA||1|1078|1|
4811905|2014|PC|  |05788617    |39832|CA||1|1078|5|
4812589|2014|PC|  |05788855    |39832|CA||1|1078|5|
4812599|2014|PC|  |05788861    |39832|CA||1|1078|1|
4812952|2014|PC|  |05789007    |39832|CA||1|1078|1|
4812987|2014|PC|  |05789032    |39832|CA||1|1078|1|
4813054|2014|PC|  |05789050    |39832|CA||1|1078|1|
4816055|2014|PC|  |05789812    |39832|CA||1|1078|5|
4828665|2014|PC|  |05793779    |39832|CA||1|1078|10|
4828676|2014|PC|  |05793787    |39832|CA||1|1078|10|
4828686|2014|PC|  |05793794    |39832|CA||1|1078|10|
4832272|2014|PC|  |05795328    |39832|CA||1|1078|1|
4832365|2014|PC|  |05795370    |39832|CA||1|1078|1|
4832405|2014|PC|  |05795379    |39832|CA||1|1078|5|
4832438|2014|PC|  |05795386    |39832|CA||1|1078|10|
4832676|2014|PC|  |05795466    |39832|CA||1|1078|1|
4845529|2014|PC|  |05798822    |39832|CA||1|1078|5|
4850320|2014|PC|  |05800523    |39832|CA|5|6|1078|10|
4856092|2014|PC|  |05802566    |39832|CA||1|1078|5|
4856177|2014|PC|  |05802601    |39832|CA||1|1078|1|
4856202|2014|PC|  |05802609    |39832|CA||1|1078|5|
4856235|2014|PC|  |05802617    |39832|CA||1|1078|1|
4856257|2014|PC|  |05802620    |39832|CA||1|1078|1|
4856392|2014|PC|  |05802674    |39832|CA||1|1078|5|
4873129|2014|PC|  |05807232    |39832|CA||1|1078|10|
4873133|2014|PC|  |05807235    |39832|CA||1|1078|1|
4873136|2014|PC|  |05807236    |39832|CA||1|1078|1|
4873138|2014|PC|  |05807237    |39832|CA||1|1078|1|
4873139|2014|PC|  |05807240    |39832|CA||1|1078|1|
4873144|2014|PC|  |05807242    |39832|CA||1|1078|1|
4873146|2014|PC|  |05807246    |39832|CA||1|1078|1|
4879277|2014|PC|  |05809144    |39832|CA||1|1078|5|
4879391|2014|PC|  |05809184    |39832|CA||1|1078|1|
4889941|2014|PC|  |05811459    |39832|CA||1|1078|5|
4895472|2014|PC|  |05813610    |39832|CA||1|1078|5|
4895481|2014|PC|  |05813611    |39832|CA||1|1078|5|
4895488|2014|PC|  |05813614    |39832|CA||1|1078|1|
4895489|2014|PC|  |05813615    |39832|CA||1|1078|1|
4895493|2014|PC|  |05813616    |39832|CA||1|1078|1|
4895495|2014|PC|  |05813617    |39832|CA||1|1078|1|
4900222|2014|PC|  |05815133    |39832|CA|6|5|1078|5|
4900458|2014|PC|  |05815183    |39832|CA||1|1078|5|
4905157|2014|PC|  |05816536    |39832|CA||1|1078|5|
4909093|2014|PC|  |05818233    |39832|CA||1|1078|10|
4909100|2014|PC|  |05818240    |39832|CA||1|1078|10|
4909102|2014|PC|  |05818243    |39832|CA||1|1078|10|
4914323|2014|PC|  |05820357    |39832|CA||1|1078|1|
4914374|2014|PC|  |05820372    |39832|CA||1|1078|1|
4914433|2014|PC|  |05820393    |39832|CA||1|1078|1|
4914455|2014|PC|  |05820401    |39832|CA||1|1078|5|
4914543|2014|PC|  |05820416    |39832|CA||1|1078|1|
4915133|2014|PC|  |05820618    |39832|CA||1|1078|5|
4918912|2014|PC|  |05821635    |39832|CA||1|1078|5|
4924108|2014|PC|  |05822978    |39832|CA||1|1078|1|
4924114|2014|PC|  |05822979    |39832|CA||1|1078|1|
4924118|2014|PC|  |05822980    |39832|CA||1|1078|1|
4924131|2014|PC|  |05822981    |39832|CA||1|1078|1|
4924143|2014|PC|  |05822984    |39832|CA||1|1078|1|
4924149|2014|PC|  |05822985    |39832|CA||1|1078|1|
4924166|2014|PC|  |05822988    |39832|CA||1|1078|5|
4924170|2014|PC|  |05822994    |39832|CA||1|1078|1|
4924781|2014|PC|  |05823193    |39832|CA||1|1078|5|
4924784|2014|PC|  |05823195    |39832|CA||1|1078|1|
4924816|2014|PC|  |05823203    |39832|CA||1|1078|1|
4924828|2014|PC|  |05823204    |39832|CA||1|1078|10|
4928857|2014|PC|  |05824585    |39832|CA||1|1078|10|
4928867|2014|PC|  |05824588    |39832|CA||1|1078|5|
4928896|2014|PC|  |05824599    |39832|CA||1|1078|5|
4928901|2014|PC|  |05824601    |39832|CA||1|1078|1|
4929066|2014|PC|  |05824667    |39832|CA||1|1078|10|
4933015|2014|PC|  |05826727    |39832|CA||1|1078|1|
4944648|2014|PC|  |05830440    |39832|CA||1|1078|5|
4944663|2014|PC|  |05830446    |39832|CA||1|1078|5|
4945225|2014|PC|  |05830639    |39832|CA||1|1078|1|
4945228|2014|PC|  |05830640    |39832|CA||1|1078|1|
